unique_id,x,y
100,85.00360581,26.88646698
101,85.11563023,26.88800601
102,85.22766336,26.8894563
103,85.33970469,26.8908178
104,85.45175369,26.89209051
105,85.56380985,26.89327439
106,85.67587266,26.89436942
107,85.78794159,26.8953756
108,85.90001612,26.89629289
109,86.01209575,26.89712128
110,86.12417995,26.89786077
111,86.2362682,26.89851132
112,86.34835998,26.89907295
113,86.46045478,26.89954562
114,86.57255207,26.89992935
115,86.68465135,26.90022411
116,86.79675208,26.9004299
117,86.90885375,26.90054673
118,87.02095585,26.90057458
119,87.13305785,26.90051347
120,87.24515923,26.90036338
121,87.35725948,26.90012432
122,87.46935807,26.8997963
123,87.58145449,26.89937932
124,87.69354823,26.89887338
125,87.80563875,26.89827851
126,87.91772554,26.8975947
127,88.02980809,26.89682198
128,88.14188588,26.89596034
129,84.66552215,26.98174125
130,84.77761642,26.98355419
131,84.889721,26.98527808
132,85.00183535,26.98691289
133,85.11395897,26.98845859
134,85.22609133,26.98991515
135,85.33823192,26.99128255
136,85.45038022,26.99256077
137,85.5625357,26.99374978
138,85.67469785,26.99484956
139,85.78686615,26.99586009
140,85.89904008,26.99678136
141,86.01121911,26.99761334
142,86.12340274,26.99835603
143,86.23559043,26.9990094
144,86.34778167,26.99957346
145,86.45997593,27.00004819
146,86.57217271,27.00043357
147,86.68437147,27.00072961
148,86.79657169,27.0009363
149,86.90877286,27.00105363
150,87.02097445,27.0010816
151,87.13317594,27.00102022
152,87.24537682,27.00086948
153,87.35757655,27.00062939
154,87.46977463,27.00029994
155,87.58197053,26.99988116
156,87.69416372,26.99937303
157,87.8063537,26.99877558
158,87.91853993,26.99808881
159,88.0307219,26.99731274
160,88.14289908,26.99644737
161,84.6634435,27.08216328
162,84.77563738,27.08398405
163,84.8878416,27.08571538
164,85.00005563,27.08735725
165,85.11227897,27.08890963
166,85.22451108,27.09037249
167,85.33675145,27.0917458
168,85.44899956,27.09302954
169,85.56125488,27.09422368
170,85.6735169,27.09532822
171,85.78578509,27.09634311
172,85.89805892,27.09726836
173,86.01033789,27.09810394
174,86.12262146,27.09884984
175,86.23490911,27.09950604
176,86.34720033,27.10007253
177,86.45949459,27.1005493
178,86.57179136,27.10093635
179,86.68409012,27.10123367
180,86.79639035,27.10144125
181,86.90869154,27.10155909
182,87.02099314,27.10158719
183,87.13329465,27.10152554
184,87.24559554,27.10137415
185,87.35789529,27.10113302
186,87.47019337,27.10080215
187,87.58248926,27.10038155
188,87.69478244,27.09987123
189,87.80707239,27.0992712
190,87.91935858,27.09858146
191,88.03164049,27.09780204
192,84.66135399,27.18258372
193,84.77364799,27.18441233
194,84.88595238,27.18615113
195,84.99826661,27.18780008
196,85.11059019,27.18935914
197,85.22292257,27.1908283
198,85.33526325,27.19220753
199,85.44761169,27.1934968
200,85.55996737,27.1946961
201,85.67232977,27.19580539
202,85.78469837,27.19682466
203,85.89707264,27.19775389
204,86.00945206,27.19859307
205,86.1218361,27.19934218
206,86.23422424,27.20000121
207,86.34661595,27.20057015
208,86.45901072,27.20104898
209,86.57140801,27.2014377
210,86.6838073,27.2017363
211,86.79620807,27.20194477
212,86.90860979,27.20206312
213,87.02101194,27.20209133
214,87.13341399,27.20202942
215,87.24581541,27.20187738
216,87.35821569,27.20163521
217,87.4706143,27.20130291
218,87.58301071,27.2008805
219,87.69540439,27.20036798
220,87.80779483,27.19976537
221,87.9201815,27.19907266
222,88.03256387,27.19828987
223,84.65925358,27.28300257
224,84.77164823,27.28483905
225,84.8840533,27.28658532
226,84.99646826,27.28824135
227,85.10889259,27.28980712
228,85.22132577,27.29128259
229,85.33376727,27.29266775
230,85.44621657,27.29396256
231,85.55867314,27.29516701
232,85.67113645,27.29628107
233,85.78360598,27.29730472
234,85.89608121,27.29823795
235,86.0085616,27.29908074
236,86.12104664,27.29983307
237,86.23353579,27.30049493
238,86.34602853,27.30106631
239,86.45852433,27.3015472
240,86.57102267,27.30193759
241,86.68352301,27.30223747
242,86.79602484,27.30244685
243,86.90852762,27.3025657
244,87.02103083,27.30259404
245,87.13353394,27.30253186
246,87.24603643,27.30237916
247,87.35853777,27.30213595
248,87.47103742,27.30180223
249,87.58353487,27.301378
250,87.69602959,27.30086328
251,87.80852105,27.30025807
252,87.92100872,27.29956239
253,88.03349208,27.29877623
254,83.19588719,27.35121642
255,83.30819931,27.35423493
256,83.4205287,27.35716339
257,83.75761526,27.36540799
258,83.8700085,27.36797577
259,84.31972279,27.37734358
260,84.43218407,27.3794595
261,84.54465739,27.38148493
262,84.65714223,27.38341984
263,84.76963805,27.38526419
264,84.88214432,27.38701794
265,84.99466054,27.38868107
266,85.10718615,27.39025355
267,85.21972065,27.39173535
268,85.3322635,27.39312645
269,85.44481418,27.39442681
270,85.55737216,27.39563643
271,85.66993691,27.39675526
272,85.7825079,27.3977833
273,85.89508461,27.39872053
274,86.00766651,27.39956694
275,86.12025306,27.40032249
276,86.23284375,27.40098719
277,86.34543804,27.40156102
278,86.4580354,27.40204397
279,86.57063531,27.40243604
280,86.68323724,27.40273721
281,86.79584065,27.40294747
282,86.90844502,27.40306684
283,87.02104982,27.4030953
284,87.13365453,27.40303285
285,87.2462586,27.4028795
286,87.35886152,27.40263525
287,87.47146275,27.40230009
288,87.58406177,27.40187405
289,87.69665805,27.40135712
290,87.80925105,27.40074932
291,87.92184025,27.40005065
292,88.03442513,27.39926112
293,82.96767531,27.44516054
294,83.08005218,27.44837265
295,83.19244743,27.45149443
296,83.30486054,27.45452584
297,83.41729097,27.45746681
298,83.52973822,27.46031731
299,83.64220176,27.46307727
300,83.75468106,27.46574665
